metric,scale_1_0,scale_1_5,scale_2_0,delta_1_5,delta_2_0
sdf_volume_shape,"[32, 24, 25]","[48, 36, 37]","[64, 48, 49]",,
surface_net_vertices,1608,3714,6557,2106.000000,4949.000000
surface_net_faces,1620,3742,6616,2122.000000,4996.000000
surface_net_triangles,3240,7484,13232,4244.000000,9992.000000
non_manifold_edge_count,11,24,56,13.000000,45.000000
degenerate_face_count,0,0,0,0.000000,0.000000
mesh_connected_components,1,1,1,0.000000,0.000000
patch_count,517,900,1311,383.000000,794.000000
macro_patch_count,273,468,695,195.000000,422.000000
small_patch_ratio,0.7059961315280464,0.7266666666666667,0.7246376811594203,0.020671,0.018642
small_macro_patch_ratio,0.5604395604395604,0.5769230769230769,0.5841726618705037,0.016484,0.023733
planar_macro_patch_count,2,8,20,6.000000,18.000000
mean_macro_patch_size,5.82051282051282,7.888888888888889,9.39136690647482,2.068376,3.570854
patch_coherence_score,0.6095744680851064,0.6488750000000001,0.6876573226544622,0.039301,0.078083
macro_patch_coherence_score,0.4968846047569451,0.5584358974358974,0.5971394893238726,0.061551,0.100255
staircase_artifact_after,0.505232111323363,0.5124861383580114,0.49716262762904695,0.007254,-0.008069
surface_flow_after,0.46557124540533334,0.47154019253890544,0.5028504055200135,0.005969,0.037279
planar_surface_score,0.0,0.0,0.0,0.000000,0.000000
lowpoly_coherence_score,0.0,0.0,0.0,0.000000,0.000000
silhouette_drift_px,0.0,0.0,0.0,0.000000,0.000000
hat_asymmetry_ratio,3.0448860329956453,2.7850673552573566,4.27507125021152,-0.259819,1.230185
passed,True,True,True,,
